logistic_region,origin_uuid,origin_name,origin_latitude,origin_longitude,Pedidos
ABC,29a70214-d6e2-4d46-a89d-6117eb048da8,EXTRA BEBIDAS - CASTELO BRANCO,-23.723994,-46.578604,12
ABC,08fcebf7-0e48-4d61-9fd3-b1a8b22c95be,EXTRA BEBIDAS - TABOAO,-23.669521,-46.610139,12
ABC,a72f2cb1-81e6-453d-a013-c9b0ee1bf640,CARREFOUR EXPRESS - MANOEL DA NOBREGA,-23.651289,-46.535986,11
ABC,f6810469-f29a-44dd-97f2-252e088fb377,FARMACIAS PAGUE MENOS - 462,-23.691075,-46.580978,11
ABC,b7eeccdd-d37a-4240-95f7-f577df1b7a56,COOP - DIADEMA CENTRO,-23.685487,-46.621667,11
ABC,71570b2d-7e96-40cd-8530-8292a1e1d76a,CARREFOUR EXPRESS - SHOPPING METROPOLE,-23.693091,-46.550702,11
ABC,7d3f480a-ff5c-4035-bfdc-a7889fd442a9,EXTRA BEBIDAS DIADEMA,-23.690514,-46.580224,10
ABC,3fc0268b-90a2-4c8e-a3f2-0b122b6b3817,SUSHI GARDEN ONE - SANTO ANDRE,-23.641721,-46.55032,10
ABC,0c0baf96-53d1-477f-9ac0-e33b9476b7b7,ROLDAO BEBIDAS SANTO ANDRE I,-23.662331,-46.512792,10
ABC,8bf869fc-a163-46f3-97be-bf11a235a1dc,CARREFOUR EXPRESS - ATRIUM SHOPPING,-23.663731,-46.507507,10
ABC,f0533916-7bb1-40ef-bf14-d9c8e914568d,ZEE NOW SANTO ANDRE,-23.663052,-46.530509,9
ABC,9fe30b39-0291-417b-8f65-abbbc03817fd,DROGASIL - SANTO ANDRE - 4064,-23.649065,-46.539474,9
ABC,898d65ee-3aba-468e-9dd6-766b0e1606f6,EXTRA BEBIDAS - CAMPESTRE,-23.641794,-46.54978,9
ABC,0e106d35-d5c7-4d2c-8c3c-450234749b61,DROGARIA SAO PAULO - PORTUGAL II,-23.661243,-46.532792,9
